"Cocktail Name","Bartender","Bar/Company","City"
"Phineas Flip","Morgan Schick","Jupiter Olympus","San Francisco"
"Piedra de sol","Graham Hunter Gregg","Expatriate","Portland"
"Pineapple Express","Jim Meehan","American Express Centurion Lounge","San Francisco"
"Polish Penance","Brian Means","Dirty Habit","San Francisco"
"Potrero Hill","Theo Sabatini","Novo Restaurant Lounge","San Luis Obispo"
"Prickly Pear Margarita","Edgar Joselino Solis","Matador","San Francisco"
"Prince of Humbugs","Morgan Schick ","Jupiter Olympus ","San Francisco"
"Pumpkin Pecan","Collin Nicholas","Mourad","San Francisco"
"Red Hook","Patrick Halloran","Henrietta Red","Nashville"
"Rudolph's Rose","Brian Means","Dirty Habit","San Francisco"
"Rx Hot Toddy","Christopher Buono","Walter Foods","Brooklyn"
"Sade's Taboo","Jessica Gonzalez","Death Co.","New York"
"Sage Sound","Brian Means","Michael Mina Restaurant Group","San Francisco"
"Sahara Glowing Heart","John Codd","Tradition","San Francisco"
"San Fran Soda","Devin Hardy","House of Blues Anaheim","Anaheim"
"San Francisco Harvest","Megan Daniel","Whitechapel","San Francisco"
"San Francisco Strong (Skrong)","Matt Grippo","Blackbird","San Francisco"
"Second City Sour","Patrick Poelvoorde","Park Tavern","San Francisco"
"Short Round II","Brian Means","Dirty Habit","San Francisco"
"Sidecar","Sean Gleason","Biltong Bar","Atlanta"
"Sidewinder","Phil Ward","Death Co.","New York"
"Slow Ride","Sam Wiener","The Bend Liquor Lounge","Miami"
"Snow Bunny","Brian Means","Dirty Habit","San Francisco"
"Solera Sidecar","Joaquin Simo","Death Co.","New York"
"Space Age Pop","Misty Kalkofen","Drink","Boston"
"Spanish GT","Natasha Bahrami","The Gin Room","St. Louis"
"Spring Forward","Kim Rosselle","Trick Dog","San Francisco"
"Still Life of a Pineapple","Daniel Braganca","Backbar","Somerville"
"Strike No.3","Jennifer Costello","Bonneville","Austin"
"Stroll Through the Park","Tyler Chauvin","Treo","New Orleans"
"Swedish Nightingale","Morgan Schick","Jupiter Olympus","San Francisco"
"Tahitian Fix","Kate Bolton","Maven","San Francisco"
"Temple of the Moon","Nandini Khaund","The Violet Hour","Chicago"
"Tequila Sunflare","Tyler Chauvin","Treo","New Orleans"
"The 42nd Round","Raul Ayala","Dirty Habit","San Francisco"
"The Bossa Nova","Chris Lane","Lolinda","San Francisco"
"The Boys of Summer Cup","Alex Smith","Novela","San Francisco"
"The Canevari Cocktail","Jeff Kinder","Bryant's Cocktail Lounge","Milwaukee"
"The Chief","Ian Scalzo","Horsefeather","San Francisco"
"The Commissioner's Trophy #3","Saul Ranella","Hog Island Oyster Co.","San Francisco"
"The Double Crown","Jeff Bell","PDT","New York"
"The Douglas Tilden","Mo Hodges Brian Felley","Benjamin Cooper","San Francisco"
"The Dry Cruise","Jacyara de Oliveira","Rob Roy, The Hideout","Seattle"
"The Fall 75","Nicole Hassoun","The Gin Joint","Charleston"
"The French Connection","John Davis","Savor Gastropub","Dallas"
"The Great Pumpkin Cocktail","Jackson Cannon","The Hawthorne","Boston"
"The Greatest Punch on Earth","Morgan Schick","Jupiter Olympus","San Francisco"
"The Happy Place","Elizabeth Montana","Forgery Verso","San Francisco"
"The King's Medicine","Matt Grippo","Blackbird","San Francisco"
